run,array_type,size,algorithm,time_us,char_comparisons,seed
1,"reverse_sorted",2000,"MSDRadixQuickSort",177,10798,20260524
1,"reverse_sorted",2100,"QuickSort",227,251000,20260524
1,"reverse_sorted",2100,"MergeSort",757,18468,20260524
1,"reverse_sorted",2100,"StringQuickSort",53,20168,20260524
1,"reverse_sorted",2100,"StringMergeSort",1253,8111,20260524
1,"reverse_sorted",2100,"MSDRadixSort",381,5095,20260524
1,"reverse_sorted",2100,"MSDRadixQuickSort",174,11327,20260524
1,"reverse_sorted",2200,"QuickSort",244,271150,20260524
1,"reverse_sorted",2200,"MergeSort",790,19750,20260524
1,"reverse_sorted",2200,"StringQuickSort",57,21243,20260524
1,"reverse_sorted",2200,"StringMergeSort",1318,8571,20260524
1,"reverse_sorted",2200,"MSDRadixSort",398,5338,20260524
1,"reverse_sorted",2200,"MSDRadixQuickSort",180,11898,20260524
1,"reverse_sorted",2300,"QuickSort",262,294998,20260524
1,"reverse_sorted",2300,"MergeSort",846,20852,20260524
1,"reverse_sorted",2300,"StringQuickSort",59,22215,20260524
1,"reverse_sorted",2300,"StringMergeSort",1400,9046,20260524
1,"reverse_sorted",2300,"MSDRadixSort",419,5581,20260524
1,"reverse_sorted",2300,"MSDRadixQuickSort",186,12421,20260524
1,"reverse_sorted",2400,"QuickSort",296,317490,20260524
1,"reverse_sorted",2400,"MergeSort",904,22090,20260524
1,"reverse_sorted",2400,"StringQuickSort",62,23394,20260524
1,"reverse_sorted",2400,"StringMergeSort",1487,9494,20260524
1,"reverse_sorted",2400,"MSDRadixSort",437,5826,20260524
1,"reverse_sorted",2400,"MSDRadixQuickSort",196,12964,20260524
1,"reverse_sorted",2500,"QuickSort",315,340505,20260524
1,"reverse_sorted",2500,"MergeSort",938,23150,20260524
1,"reverse_sorted",2500,"StringQuickSort",65,24622,20260524
1,"reverse_sorted",2500,"StringMergeSort",1529,9943,20260524
1,"reverse_sorted",2500,"MSDRadixSort",461,6076,20260524
1,"reverse_sorted",2500,"MSDRadixQuickSort",202,13485,20260524
1,"reverse_sorted",2600,"QuickSort",322,363626,20260524
1,"reverse_sorted",2600,"MergeSort",971,24204,20260524
1,"reverse_sorted",2600,"StringQuickSort",67,25596,20260524
1,"reverse_sorted",2600,"StringMergeSort",1629,10361,20260524
1,"reverse_sorted",2600,"MSDRadixSort",506,6323,20260524
1,"reverse_sorted",2600,"MSDRadixQuickSort",210,14051,20260524
1,"reverse_sorted",2700,"QuickSort",344,385769,20260524
1,"reverse_sorted",2700,"MergeSort",972,25184,20260524
1,"reverse_sorted",2700,"StringQuickSort",70,26609,20260524
1,"reverse_sorted",2700,"StringMergeSort",1689,10697,20260524
1,"reverse_sorted",2700,"MSDRadixSort",536,6557,20260524
1,"reverse_sorted",2700,"MSDRadixQuickSort",219,14554,20260524
1,"reverse_sorted",2800,"QuickSort",366,409978,20260524
1,"reverse_sorted",2800,"MergeSort",1003,26304,20260524
1,"reverse_sorted",2800,"StringQuickSort",75,27918,20260524
1,"reverse_sorted",2800,"StringMergeSort",1772,11259,20260524
1,"reverse_sorted",2800,"MSDRadixSort",542,6792,20260524
1,"reverse_sorted",2800,"MSDRadixQuickSort",225,15082,20260524
1,"reverse_sorted",2900,"QuickSort",387,432632,20260524
1,"reverse_sorted",2900,"MergeSort",1056,27294,20260524
1,"reverse_sorted",2900,"StringQuickSort",77,29052,20260524
1,"reverse_sorted",2900,"StringMergeSort",1805,11589,20260524
1,"reverse_sorted",2900,"MSDRadixSort",584,7045,20260524
1,"reverse_sorted",2900,"MSDRadixQuickSort",232,15622,20260524
1,"reverse_sorted",3000,"QuickSort",400,454151,20260524
1,"reverse_sorted",3000,"MergeSort",1105,28162,20260524
1,"reverse_sorted",3000,"StringQuickSort",79,30085,20260524
1,"reverse_sorted",3000,"StringMergeSort",1885,11916,20260524
1,"reverse_sorted",3000,"MSDRadixSort",584,7288,20260524
1,"reverse_sorted",3000,"MSDRadixQuickSort",244,16161,20260524
1,"nearly_sorted",100,"QuickSort",16,14999,20260524
1,"nearly_sorted",100,"MergeSort",25,715,20260524
1,"nearly_sorted",100,"StringQuickSort",3,620,20260524
1,"nearly_sorted",100,"StringMergeSort",47,336,20260524
1,"nearly_sorted",100,"MSDRadixSort",15,232,20260524
1,"nearly_sorted",100,"MSDRadixQuickSort",7,489,20260524
1,"nearly_sorted",200,"QuickSort",31,28534,20260524
1,"nearly_sorted",200,"MergeSort",49,1679,20260524
1,"nearly_sorted",200,"StringQuickSort",5,1562,20260524
1,"nearly_sorted",200,"StringMergeSort",94,721,20260524
1,"nearly_sorted",200,"MSDRadixSort",26,456,20260524
1,"nearly_sorted",200,"MSDRadixQuickSort",14,971,20260524
1,"nearly_sorted",300,"QuickSort",44,42792,20260524
1,"nearly_sorted",300,"MergeSort",83,2662,20260524
1,"nearly_sorted",300,"StringQuickSort",8,2240,20260524
1,"nearly_sorted",300,"StringMergeSort",151,1157,20260524
1,"nearly_sorted",300,"MSDRadixSort",44,709,20260524
1,"nearly_sorted",300,"MSDRadixQuickSort",22,1502,20260524
1,"nearly_sorted",400,"QuickSort",67,60388,20260524
1,"nearly_sorted",400,"MergeSort",109,3775,20260524
1,"nearly_sorted",400,"StringQuickSort",10,2941,20260524
1,"nearly_sorted",400,"StringMergeSort",202,1540,20260524
1,"nearly_sorted",400,"MSDRadixSort",56,935,20260524
1,"nearly_sorted",400,"MSDRadixQuickSort",29,1999,20260524
1,"nearly_sorted",500,"QuickSort",75,71915,20260524
1,"nearly_sorted",500,"MergeSort",146,4962,20260524
1,"nearly_sorted",500,"StringQuickSort",14,3987,20260524
1,"nearly_sorted",500,"StringMergeSort",258,2011,20260524
1,"nearly_sorted",500,"MSDRadixSort",71,1175,20260524
1,"nearly_sorted",500,"MSDRadixQuickSort",37,2550,20260524
1,"nearly_sorted",600,"QuickSort",89,85236,20260524
1,"nearly_sorted",600,"MergeSort",178,6050,20260524
1,"nearly_sorted",600,"StringQuickSort",16,5011,20260524
1,"nearly_sorted",600,"StringMergeSort",319,2410,20260524
1,"nearly_sorted",600,"MSDRadixSort",83,1407,20260524
1,"nearly_sorted",600,"MSDRadixQuickSort",43,3084,20260524
1,"nearly_sorted",700,"QuickSort",104,100323,20260524
1,"nearly_sorted",700,"MergeSort",210,7135,20260524
1,"nearly_sorted",700,"StringQuickSort",18,5653,20260524
1,"nearly_sorted",700,"StringMergeSort",375,2792,20260524
1,"nearly_sorted",700,"MSDRadixSort",95,1641,20260524
1,"nearly_sorted",700,"MSDRadixQuickSort",49,3572,20260524
1,"nearly_sorted",800,"QuickSort",122,117903,20260524
1,"nearly_sorted",800,"MergeSort",242,8550,20260524
1,"nearly_sorted",800,"StringQuickSort",22,6839,20260524
1,"nearly_sorted",800,"StringMergeSort",433,3283,20260524
1,"nearly_sorted",800,"MSDRadixSort",121,1886,20260524
1,"nearly_sorted",800,"MSDRadixQuickSort",63,4117,20260524
1,"nearly_sorted",900,"QuickSort",147,130220,20260524
1,"nearly_sorted",900,"MergeSort",299,9800,20260524
1,"nearly_sorted",900,"StringQuickSort",26,7864,20260524
1,"nearly_sorted",900,"StringMergeSort",501,3785,20260524
1,"nearly_sorted",900,"MSDRadixSort",130,2120,20260524
1,"nearly_sorted",900,"MSDRadixQuickSort",67,4680,20260524
1,"nearly_sorted",1000,"QuickSort",157,151408,20260524
1,"nearly_sorted",1000,"MergeSort",312,11072,20260524
1,"nearly_sorted",1000,"StringQuickSort",28,8903,20260524
1,"nearly_sorted",1000,"StringMergeSort",551,4230,20260524
1,"nearly_sorted",1000,"MSDRadixSort",149,2359,20260524
1,"nearly_sorted",1000,"MSDRadixQuickSort",75,5186,20260524
1,"nearly_sorted",1100,"QuickSort",171,163892,20260524
1,"nearly_sorted",1100,"MergeSort",375,12384,20260524
1,"nearly_sorted",1100,"StringQuickSort",34,9847,20260524
1,"nearly_sorted",1100,"StringMergeSort",664,4698,20260524
1,"nearly_sorted",1100,"MSDRadixSort",163,2599,20260524
1,"nearly_sorted",1100,"MSDRadixQuickSort",86,5733,20260524
1,"nearly_sorted",1200,"QuickSort",192,177125,20260524
1,"nearly_sorted",1200,"MergeSort",391,13677,20260524
1,"nearly_sorted",1200,"StringQuickSort",36,10907,20260524
1,"nearly_sorted",1200,"StringMergeSort",694,5255,20260524
1,"nearly_sorted",1200,"MSDRadixSort",179,2840,20260524
1,"nearly_sorted",1200,"MSDRadixQuickSort",93,6281,20260524
1,"nearly_sorted",1300,"QuickSort",207,192073,20260524
1,"nearly_sorted",1300,"MergeSort",458,14832,20260524
1,"nearly_sorted",1300,"StringQuickSort",41,11931,20260524
1,"nearly_sorted",1300,"StringMergeSort",777,5640,20260524
1,"nearly_sorted",1300,"MSDRadixSort",198,3083,20260524
1,"nearly_sorted",1300,"MSDRadixQuickSort",102,6848,20260524
1,"nearly_sorted",1400,"QuickSort",223,208906,20260524
1,"nearly_sorted",1400,"MergeSort",480,16199,20260524
1,"nearly_sorted",1400,"StringQuickSort",42,12844,20260524
1,"nearly_sorted",1400,"StringMergeSort",820,6160,20260524
1,"nearly_sorted",1400,"MSDRadixSort",216,3322,20260524
1,"nearly_sorted",1400,"MSDRadixQuickSort",110,7340,20260524
1,"nearly_sorted",1500,"QuickSort",238,220222,20260524
1,"nearly_sorted",1500,"MergeSort",549,17814,20260524
1,"nearly_sorted",1500,"StringQuickSort",50,13951,20260524
1,"nearly_sorted",1500,"StringMergeSort",924,6833,20260524
1,"nearly_sorted",1500,"MSDRadixSort",244,3575,20260524
1,"nearly_sorted",1500,"MSDRadixQuickSort",124,7955,20260524
1,"nearly_sorted",1600,"QuickSort",252,237854,20260524
1,"nearly_sorted",1600,"MergeSort",584,19254,20260524
1,"nearly_sorted",1600,"StringQuickSort",49,14894,20260524
1,"nearly_sorted",1600,"StringMergeSort",952,7271,20260524
1,"nearly_sorted",1600,"MSDRadixSort",263,3839,20260524
1,"nearly_sorted",1600,"MSDRadixQuickSort",136,8578,20260524
1,"nearly_sorted",1700,"QuickSort",268,251465,20260524
1,"nearly_sorted",1700,"MergeSort",648,20569,20260524
1,"nearly_sorted",1700,"StringQuickSort",56,16197,20260524
1,"nearly_sorted",1700,"StringMergeSort",1027,7825,20260524
1,"nearly_sorted",1700,"MSDRadixSort",281,4078,20260524
1,"nearly_sorted",1700,"MSDRadixQuickSort",141,9110,20260524
1,"nearly_sorted",1800,"QuickSort",285,268407,20260524
1,"nearly_sorted",1800,"MergeSort",691,22020,20260524
1,"nearly_sorted",1800,"StringQuickSort",62,17312,20260524
1,"nearly_sorted",1800,"StringMergeSort",1110,8291,20260524
1,"nearly_sorted",1800,"MSDRadixSort",292,4322,20260524
1,"nearly_sorted",1800,"MSDRadixQuickSort",150,9671,20260524
1,"nearly_sorted",1900,"QuickSort",306,290544,20260524
