array_type,size,algorithm,mean_time_us,mean_char_comparisons,runs,seed
"nearly_sorted",3000,"StringQuickSort",108.600,31951.700,10,20260524
"random",100,"MSDRadixQuickSort",9.600,200.400,10,20260524
"random",100,"MSDRadixSort",22.600,177.100,10,20260524
"random",100,"MergeSort",41.100,599.900,10,20260524
"random",100,"QuickSort",22.000,14645.500,10,20260524
"random",100,"StringMergeSort",66.700,508.600,10,20260524
"random",100,"StringQuickSort",4.900,721.800,10,20260524
"random",200,"MSDRadixQuickSort",18.900,519.600,10,20260524
"random",200,"MSDRadixSort",44.400,394.300,10,20260524
"random",200,"MergeSort",79.700,1487.800,10,20260524
"random",200,"QuickSort",44.200,29233.000,10,20260524
"random",200,"StringMergeSort",133.100,1171.400,10,20260524
"random",200,"StringQuickSort",10.700,1597.400,10,20260524
"random",300,"MSDRadixQuickSort",27.200,904.700,10,20260524
"random",300,"MSDRadixSort",59.100,611.900,10,20260524
"random",300,"MergeSort",124.300,2519.900,10,20260524
"random",300,"QuickSort",64.900,44380.700,10,20260524
"random",300,"StringMergeSort",196.400,1904.200,10,20260524
"random",300,"StringQuickSort",15.600,2549.000,10,20260524
"random",400,"MSDRadixQuickSort",37.600,1345.000,10,20260524
"random",400,"MSDRadixSort",75.100,826.700,10,20260524
"random",400,"MergeSort",160.100,3655.100,10,20260524
"random",400,"QuickSort",83.300,59866.100,10,20260524
"random",400,"StringMergeSort",258.200,2685.900,10,20260524
"random",400,"StringQuickSort",22.200,3633.200,10,20260524
"random",500,"MSDRadixQuickSort",49.400,1822.000,10,20260524
"random",500,"MSDRadixSort",94.900,1043.800,10,20260524
"random",500,"MergeSort",214.500,4855.800,10,20260524
"random",500,"QuickSort",107.300,76448.800,10,20260524
"random",500,"StringMergeSort",335.000,3498.800,10,20260524
"random",500,"StringQuickSort",27.500,4645.600,10,20260524
"random",600,"MSDRadixQuickSort",57.800,2340.000,10,20260524
"random",600,"MSDRadixSort",108.600,1263.300,10,20260524
"random",600,"MergeSort",265.800,6127.300,10,20260524
"random",600,"QuickSort",134.300,91373.900,10,20260524
"random",600,"StringMergeSort",405.500,4345.100,10,20260524
"random",600,"StringQuickSort",33.500,5820.300,10,20260524
"random",700,"MSDRadixQuickSort",67.700,2900.500,10,20260524
"random",700,"MSDRadixSort",125.000,1487.200,10,20260524
"random",700,"MergeSort",313.800,7430.500,10,20260524
"random",700,"QuickSort",154.500,107026.800,10,20260524
"random",700,"StringMergeSort",486.200,5211.500,10,20260524
"random",700,"StringQuickSort",40.700,6793.500,10,20260524
"random",800,"MSDRadixQuickSort",76.900,3442.200,10,20260524
"random",800,"MSDRadixSort",142.100,1715.800,10,20260524
"random",800,"MergeSort",355.500,8787.900,10,20260524
"random",800,"QuickSort",174.400,122453.000,10,20260524
"random",800,"StringMergeSort",551.300,6084.500,10,20260524
"random",800,"StringQuickSort",47.000,8164.200,10,20260524
